Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Sachin Photo House,Danapur,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/Sachin-Photo-house-133204217257422/,
Ansh Studio,Patliputra Colony,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/ansh.studio/?hl=en,https://www.facebook.com/pages/category/Wedding-Planning-Service/Ansh-Studio-529954973849652/,
Shree Studio,Patliputra Colony,No Reviews,Photo + Video,"20,000",per day,None,,,https://www.instagram.com/shree_studio__/?hl=en,https://www.facebook.com/Studio-Shree-Indian-Wedding-Photography-115011031938554/,
Viewfinder,Anandpuri,No Reviews,Photo + Video,"55,000",per day,None,,,None,None,
Aakarshan Studio,Patna,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/aakarshanfashionstudio/,https://www.facebook.com/pages/category/Camera-Photo/Aakarshan-studio-480890612362089/,
Reflection Studio,Patliputra Colony,No Reviews,Photo + Video,"30,000",per day,None,,,https://www.instagram.com/reflectionstudio.us/?hl=en,https://www.facebook.com/westudioreflection/,
Studio 361 Degree,Patna,No Reviews,Photo + Video,"70,000",per day,None,,,None,https://www.facebook.com/studio361degree/,
Rishtey Yaadein Studio,Patna,No Reviews,Photo + Video,"25,000",per day,None,,,None,https://www.facebook.com/ryspatna/,
Harsh Kumar Photography,Gardanibagh,No Reviews,Photo + Video,"1,20,000",per day,None,,,https://www.instagram.com/harshkumar_photographer/?hl=en,https://www.facebook.com/HarshKumarPhotography/,
OP Creative Wedding Photography,Patliputra Colony,No Reviews,Photo + Video,"75,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/Op-creative-wedding-photography-1469344606495014/,
SANGEET STUDIO,Bakarganj,No Reviews,Photo + Video,"20,000",per day,None,,,https://www.instagram.com/sangeetstudio/?hl=en,https://www.facebook.com/sangeetstudio/,
Ankit Photo Studio,Patna,No Reviews,Photo + Video,"33,000",per day,None,,,https://www.instagram.com/ankitphotostudioz/,https://www.facebook.com/AnkitStudio/,
Wedding Film's,Danapur,No Reviews,Photo + Video,"50,000",per day,None,,,None,None,
Studio Candy,Sadikpur,No Reviews,Photo + Video,"55,000",per day,None,,,None,https://www.facebook.com/Studiocandy1/,
Touch N Feel,Rukanpura,No Reviews,Photo + Video,"38,000",per day,None,,,None,https://www.facebook.com/Tnfwinemart,
Studio J.K. Digital,Rajendra Nagar,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/JkDigitalPhotoStudioMastPhotography/,
Special Moments Studio,Bakarganj,No Reviews,Photo + Video,"25,000",per day,None,,,https://www.instagram.com/special.moments.studio/?hl=en,https://www.facebook.com/specialmomentsstudioindia/,
Wedding Mirchi,Kumhrar,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/weddingmirchi/,
Blow Up Studio,Rukanpura,No Reviews,Photo + Video,"55,000",per day,None,,,https://www.instagram.com/blow.up.studio/?hl=en,https://www.facebook.com/pages/category/Photographer/Blow-Up-Studio-108611200810074/,
Suchitra Films,Gardanibagh,No Reviews,Photo + Video,"17,500",per day,None,,,None,None,
Shining Frame,Rukanpura,No Reviews,Photo + Video,"1,70,000",per day,None,,,None,https://www.facebook.com/pages/category/Product-Service/Shining-Frame-Delhi-105952404227883/,
Roy Video Vision,Rukanpura,No Reviews,Photo + Video,"35,000",per day,None,,,None,https://www.facebook.com/pages/category/Media-News-Company/Roy-video-vision-330907004017981/,
Imprint,Sadikpur,No Reviews,Photo + Video,"40,000",per day,None,,,None,None,
