Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
MMC Pro Photography,Dwaraka Nagar,No Reviews,Photo + Video,"32,000",per day,None,,,None,https://www.facebook.com/pages/category/Business-Service/MMC-Pro-Photography-1593081364274947/,
Molika Photo World,Visakhapatnam,No Reviews,Photo + Video,"35,000",per day,None,,,None,None,
Simon Veda Photography,MVP Colony,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/NorthCameraSimon/,
Pixel Photography,Akkayyapalem,No Reviews,Photo + Video,"55,000",per day,None,,,None,https://www.facebook.com/bhaskarboorlaphotography/,
Premjoe Photography,Madhavadhara,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/storiesbyphotoartist/?hl=en,https://www.facebook.com/prem.joePJ,
Asher Images,Akkayyapalem,No Reviews,Photo + Video,"34,000",per day,None,,,None,https://www.facebook.com/vividphotofarm/,
Sri Devi Photo Studio,Visakhapatnam,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/sridevidigitalsullia/,
Uday K Patta Photography,Seethammadara,No Reviews,Photo + Video,"47,000",per day,None,,,https://www.instagram.com/udaykpatta/,https://www.facebook.com/pages/category/Photographer/Uday-k-patta-photography-162491907143132/,
S S Digital Studio,Arilova,No Reviews,Photo + Video,"30,000",per day,None,,,https://www.instagram.com/ss.digitalstudio/?hl=en,https://www.facebook.com/pages/category/Movie-Television-Studio/SS-Digital-Studio-400179426753072/,
MG Photography,Visakhapatnam,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/mgphotographytnj/,
Studio In,MVP Colony,No Reviews,Photo + Video,"30,000",per day,None,,,None,None,
KGN Wedding Photographer & Videographer,Arilova,No Reviews,Photo + Video,"80,000",per day,None,,,https://www.instagram.com/kgnmediaweddingstudio/?hl=en,https://www.facebook.com/pages/category/Community/KGN-wedding-photographer-Videographer-986763071381582/,
Sunshine Photography,Gajuwaka,No Reviews,Photo + Video,"52,000",per day,None,,,None,https://www.facebook.com/sunshinephotography.co/,
Gayathri Digitals,Bheemili,No Reviews,Photo + Video,"65,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/Gayathri-digitals-192101417790419/,
Asha Digital Studio,Kurmannapalem,No Reviews,Photo + Video,"25,000",per day,None,,,None,https://www.facebook.com/ashadigitalstudios/,
Darlie Photography,Seethammadara,No Reviews,Photo + Video,"36,500",per day,None,,,None,https://www.facebook.com/darliephotography/,
Clikon Photography,Dwaraka Nagar,No Reviews,Photo + Video,"65,000",per day,None,,,None,https://www.facebook.com/clikonphotography/videos/,
F9 Studios,Dwaraka Nagar,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/f9_post_studios/?hl=en,https://www.facebook.com/f9poststudios/,
Deepanjali Photo Studio,Gajuwaka,No Reviews,Photo + Video,"50,000",per day,None,,,None,None,
Liveshot photography,Dwaraka Nagar,No Reviews,Photo + Video,"1,50,000",per day,None,,,None,https://www.facebook.com/Liveshotstudio/,
3Event Experts Photography,Gajuwaka,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/3event_experts_official/,https://www.facebook.com/pages/category/Event-Videographer/3-Event-Experts-Sabbavaram-400136686776919/,
Balagangadhar Photography,Pedagantyada,No Reviews,Photo + Video,"32,000",per day,None,,,None,https://www.facebook.com/Balagangadharphotography/,
Blossom Studio,Dwaraka Nagar,No Reviews,Photo + Video,"32,000",per day,None,,,https://www.instagram.com/blossomstudio.pl/?hl=en,https://www.facebook.com/AngelaDaviesArts/,
Hs Creative Media,Port Area,No Reviews,Photo + Video,"75,000",per day,None,,,None,https://www.facebook.com/hscreativemedia/,
Nagu Images And Studio,Madhurawada,No Reviews,Photo + Video,"35,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/Nagu-images-studio-107847884335263/,
Sagarika Digital Studio,Visakhapatnam,No Reviews,Photo + Video,"40,000",per day,None,,,None,None,
SS_Photography,Dwaraka Nagar,No Reviews,Photo + Video,"38,000",per day,None,,,https://www.instagram.com/ssphotography_official/?hl=en,https://www.facebook.com/ssphotographycreation/,
Ravi Photography,Dwaraka Nagar,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/raviphotographyjagraon/?hl=en,https://www.facebook.com/ravi.photography.candid/,
R Jaswanth Photography,Akkayyapalem,No Reviews,Photo + Video,"95,000",per day,None,,,https://www.instagram.com/explore/locations/760359904076881/r-jaswanth-photography?hl=en,https://www.facebook.com/bunnyjaswanthphotography/,
Snapscue Photography,Visakhapatnam,No Reviews,Photo + Video,"75,000",per day,None,,,https://www.instagram.com/snapscue_photography/?hl=en,https://www.facebook.com/snapscuephotography/posts,
Srinivasa Color Lab,Simhachalam,No Reviews,Photo + Video,"40,000",per day,None,,,None,None,
